micro_market_id,country,region,city,district,lat,lng,population_index,affluence_index,construction_velocity_index,infrastructure_spend_index,industrial_cluster_index,retail_density_index,channel_mix_modern_pct,channel_mix_gt_pct,competitive_intensity_index,logistics_access_index,demand_proxy_index,growth_proxy_index,coverage_index_0_1,sell_in_proxy,sell_out_proxy,attractiveness_score_0_100,whitespace_score_0_100,recommended_distributor_count,current_distributor_count,distributor_gap,why_now,data_readiness_0_100
MM-IN-MUM-042,India,South,Mumbai,District-7,23.4183,72.4737,84,71,45,85,44,85,34,59,49,47,87,42,0.0,0.0,0.0,55.0,62.1,2,0,2,strong demand | lower competition | low current coverage,100
MM-SA-JED-043,Saudi,KSA,Jeddah,District-1,22.7354,45.894,80,89,49,56,29,67,69,65,64,55,89,62,0.0,0.0,0.0,55.6,63.1,2,0,2,strong demand | high growth | low current coverage,100
MM-SA-RIY-044,Saudi,KSA,Riyadh,District-3,22.923,38.7388,40,59,71,52,49,92,57,57,41,88,45,51,0.0,0.0,0.0,46.4,38.1,2,0,2,construction momentum | serviceability | lower competition | low current coverage,100
MM-IN-BEN-045,India,South,Bengaluru,District-2,22.2363,83.8771,72,51,45,50,30,86,34,58,79,80,58,60,0.0,0.0,0.0,42.6,40.9,2,0,2,high growth | serviceability | low current coverage,100
MM-UA-ABU-046,UAE,UAE,Abu Dhabi,District-8,24.6984,54.8878,85,78,42,66,27,72,67,55,52,32,92,36,0.8,0.0,0.0,49.9,12.1,2,2,0,strong demand | lower competition,100
MM-SA-RIY-047,Saudi,KSA,Riyadh,District-8,21.9685,38.7208,65,52,33,37,46,33,54,40,42,55,57,30,0.0,0.0,0.0,29.7,32.1,1,0,1,lower competition | low current coverage,100
MM-SA-RIY-048,Saudi,KSA,Riyadh,District-1,26.9021,38.0136,65,61,51,58,74,84,33,46,38,61,74,44,0.48,0.0,0.0,49.0,27.4,2,1,1,strong demand | lower competition,100
MM-UA-DUB-049,UAE,UAE,Dubai,District-4,25.7215,50.2914,75,43,33,38,84,30,29,31,28,70,45,66,0.0,0.0,0.0,35.7,31.2,1,0,1,high growth | serviceability | lower competition | low current coverage,100
MM-SA-RIY-050,Saudi,KSA,Riyadh,District-5,26.7955,38.0522,82,69,40,80,79,46,65,52,65,94,53,82,0.0,0.0,0.0,52.0,44.8,1,0,1,high growth | serviceability | low current coverage,100
MM-IN-MUM-051,India,North,Mumbai,District-7,22.8059,75.4617,60,52,35,31,44,31,28,66,73,78,50,87,0.0,0.0,0.0,38.7,34.9,1,0,1,high growth | serviceability | low current coverage,100
MM-IN-DEL-052,India,West,Delhi,District-2,19.1497,83.0895,48,62,94,30,21,94,49,36,87,87,64,70,0.0,0.0,0.0,52.6,50.2,2,0,2,high growth | construction momentum | serviceability | low current coverage,100
MM-IN-BEN-053,India,North,Bengaluru,District-1,22.7565,76.7161,73,80,31,68,36,86,32,60,61,55,74,77,0.0,0.0,0.0,56.2,57.3,2,0,2,strong demand | high growth | low current coverage,100
MM-IN-JAK-054,Indonesia,Sumatra,Jakarta,District-7,27.403,109.7735,65,35,81,63,48,36,64,49,71,39,92,41,0.0,0.0,0.0,44.1,56.7,1,0,1,strong demand | construction momentum | low current coverage,100
MM-UA-DUB-055,UAE,UAE,Dubai,District-2,25.4359,55.4755,63,75,87,54,56,78,56,69,62,36,88,86,0.0,0.0,0.0,61.9,66.9,2,0,2,strong demand | high growth | construction momentum | low current coverage,100
MM-IN-BEN-056,India,South,Bengaluru,District-4,18.7989,75.2704,41,88,54,76,82,55,35,60,63,56,69,90,0.0,0.0,0.0,58.1,56.2,1,0,1,strong demand | high growth | low current coverage,100
MM-UA-ABU-057,UAE,UAE,Abu Dhabi,District-4,22.787,52.2632,59,42,40,74,43,92,32,34,76,87,48,43,0.0,0.0,0.0,39.5,34.7,2,0,2,serviceability | low current coverage,100
MM-IN-SUR-058,Indonesia,Java,Surabaya,District-5,8.863,108.335,42,61,92,72,54,37,32,44,77,86,88,93,0.0,0.0,0.0,64.8,68.8,2,0,2,strong demand | high growth | construction momentum | serviceability,100
MM-UA-ABU-059,UAE,UAE,Abu Dhabi,District-4,25.812,50.4309,55,65,36,84,63,65,28,42,32,85,67,77,0.0,0.0,0.0,59.2,56.0,2,0,2,strong demand | high growth | serviceability | lower competition,100
MM-IN-DEL-060,India,South,Delhi,District-1,20.97,78.4777,78,46,91,37,82,36,33,72,33,56,59,45,0.23,0.0,0.0,39.3,30.2,1,1,0,construction momentum | lower competition | low current coverage,100
